County,State,num_waste_facilities,pm2.5,white,black,asian,hispanic,native_american,other,population,asthma_rates
Dutchess,New York,18,6.1,0.788,0.104,0.038,0.115,0.004,0.034,295905,10.6
Erie,New York,8,7.6,0.784,0.134,0.033,0.051,0.005,0.022,922129,12.2
Essex,New York,17,7.2,0.931,0.031,0.005,0.031,0.003,0.012,38598,13.3
Franklin,New York,5,6.1,0.83,0.056,0.005,0.033,0.069,0.02,51007,13.8
Fulton,New York,9,6.4,0.949,0.016,0.007,0.027,0.003,0.009,54297,13.9
Genesee,New York,8,7.8,0.924,0.025,0.007,0.03,0.011,0.013,59053,11.2
Greene,New York,5,6.6,0.896,0.067,0.01,0.054,0.003,0.008,48069,12
Hamilton,New York,8,6.6,0.965,0.006,0.001,0.014,0.001,0.003,4697,12.4
Herkimer,New York,3,6.1,0.961,0.011,0.005,0.02,0.002,0.004,63558,13.6
Jefferson,New York,24,6.1,0.864,0.058,0.014,0.071,0.005,0.015,117966,13.6
Kings,New York,9,8.1,0.433,0.334,0.117,0.194,0.003,0.087,2606852,9.3
Lewis,New York,6,5.7,0.968,0.008,0.005,0.016,0.002,0.006,27107,7.2
Livingston,New York,9,6.6,0.933,0.025,0.014,0.033,0.002,0.008,64622,14.5
Madison,New York,4,5.4,0.949,0.021,0.009,0.02,0.006,0.002,72089,10.5
Monroe,New York,10,7.4,0.76,0.153,0.036,0.081,0.004,0.019,749236,11
Montgomery,New York,4,6,0.882,0.021,0.007,0.126,0.001,0.062,49667,15.6
Nassau,New York,26,6.2,0.697,0.115,0.087,0.161,0.002,0.065,1356801,5.9
New York,New York,1,10.3,0.568,0.15,0.118,0.259,0.004,0.118,1634989,8.8
Niagara,New York,7,8.2,0.879,0.071,0.011,0.026,0.01,0.006,213374,10.3
Oneida,New York,17,5.4,0.86,0.061,0.038,0.052,0.002,0.015,232858,11.1
Onondaga,New York,11,5.5,0.801,0.111,0.037,0.046,0.006,0.011,468050,11.5
Ontario,New York,16,6.6,0.932,0.025,0.012,0.042,0.004,0.01,109450,10.7
Orange,New York,8,5.2,0.748,0.103,0.027,0.194,0.004,0.084,376242,9
Orleans,New York,0,7.8,0.898,0.063,0.007,0.046,0.004,0.011,41938,8.8
Oswego,New York,7,5.5,0.956,0.01,0.007,0.024,0.002,0.008,120513,8.6
Otsego,New York,15,5.4,0.94,0.018,0.012,0.035,0.003,0.008,60979,9.6
Putnam,New York,5,5.6,0.895,0.024,0.022,0.131,0.008,0.03,99408,13.2
Queens,New York,8,6.4,0.405,0.183,0.248,0.28,0.004,0.125,2310011,7.8
Rensselaer,New York,11,6.6,0.869,0.062,0.025,0.045,0.001,0.008,159959,11.7
Richmond,New York,1,7.4,0.751,0.103,0.08,0.18,0.002,0.039,473324,9
Rockland,New York,7,5.6,0.708,0.126,0.061,0.17,0.002,0.079,322642,4.6
Saratoga,New York,14,6.8,0.931,0.024,0.011,0.022,0.008,0.007,111529,15.4
Schenectady,New York,3,6.6,0.936,0.016,0.027,0.029,0.002,0.004,224929,11.2
